Time, Temperature 
576.3251, 59.6
579.8132, 59.7
581.8287, 59.8
591.4287, 59.9
593.5088, 60.0
605.9409, 60.1
612.981, 60.2
618.7091, 60.1
623.877, 60.2
625.9249, 60.3
627.0298, 60.4
628.0829, 60.5
630.6135, 60.6
633.0452, 60.7
636.2299, 60.8
639.2697, 60.9
640.9339, 61.0
643.7176, 61.1
647.5578, 61.2
653.3661, 61.3
654.6938, 61.4
656.678, 61.5
659.574, 61.6
662.2301, 61.7
665.3174, 61.8
671.7498, 61.9
678.0699, 62.0
680.4699, 62.1
682.582, 62.2
684.1821, 62.3
686.7099, 62.4
688.9657, 62.5
692.0859, 62.6
695.1898, 62.7
698.9018, 62.8
703.3983, 62.9
706.4863, 63.0
711.6221, 63.1
713.67, 63.2
717.1581, 63.3
717.7658, 63.4
721.8142, 63.5
725.6542, 63.6
729.5901, 63.7
735.0305, 63.6
737.782, 63.5
740.9825, 63.4
745.1582, 63.3
745.7984, 63.2
746.5185, 63.1
747.5743, 63.0
750.7906, 63.1
751.8782, 63.2
752.6302, 63.3
753.7183, 63.4
754.7584, 63.5
756.359, 63.6
757.5909, 63.7
758.647, 63.8
759.6547, 63.9
760.919, 64.0
762.2628, 64.1
763.5904, 64.2
766.6624, 64.3
768.1507, 64.4
768.9504, 64.5
774.1667, 64.4
777.4307, 64.5
791.9727, 64.6
794.9828, 64.7
800.3914, 64.8
803.6071, 64.9
805.863, 65.0
809.8791, 65.1
812.4389, 65.2
814.2949, 65.3
816.3589, 65.4
818.0228, 65.3
823.3672, 65.4
823.9912, 65.5
830.6475, 65.6
832.9849, 65.7
839.5277, 65.8
844.9675, 65.9
853.1277, 66.0
858.6958, 66.1
864.2, 66.2
872.9198, 66.3
882.1517, 66.4
884.6636, 66.5
885.7334, 66.6
888.9836, 66.7
903.736, 66.6
906.1359, 66.7
914.2478, 66.6
918.1838, 66.7
921.048, 66.8
923.9761, 66.9
924.5521, 67.0
925.416, 67.1
926.4241, 67.2
933.0, 67.3
935.8957, 67.2
937.8164, 67.3
948.6484, 67.4
958.5682, 67.5
965.7203, 67.6
969.6245, 67.7
972.601, 67.8
977.9926, 67.9
987.0327, 68.0
989.289, 68.1
995.3372, 68.2
1027.3535, 68.3
1037.0333, 68.4
1038.2331, 68.3
1039.6252, 68.4
1040.937, 68.3
1044.1852, 68.4
1051.8338, 68.5
1053.3829, 68.6
1055.3059, 68.7
1061.9781, 68.8
1066.9536, 68.9
1069.0814, 68.8
1077.9456, 68.7
1079.0169, 68.8
1085.9142, 68.9
1089.8182, 69.0
1093.562, 69.1
1096.4902, 69.2
1103.9303, 69.3
1108.5703, 69.4
1112.5541, 69.5
1117.2423, 69.4
1119.0821, 69.3
1121.5303, 69.2
1126.6028, 69.3
1129.8185, 69.2
1132.7753, 69.3
1136.2499, 69.4
1150.6668, 69.5
1151.1787, 69.6
1152.9068, 69.7
1158.5703, 69.8
1167.8828, 69.9
1187.067, 70.0
1189.4505, 69.9
1197.3072, 70.0
1199.0674, 70.1
1205.7389, 70.0
1207.0353, 69.9
1208.715, 70.0
1209.563, 70.1
1215.6112, 70.0
1216.6029, 69.9
1217.7392, 69.8
1219.0834, 69.7
1223.9314, 69.8
1224.2513, 69.9
1232.0431, 70.0
1237.1632, 70.1
1245.4834, 70.0
1248.1555, 70.1
1249.6277, 70.2
1251.8197, 70.3
1255.372, 70.4
1260.2517, 70.3
1262.7795, 70.2
1268.5398, 70.3
1271.5805, 70.4
1274.0288, 70.5
1275.7875, 70.6
1279.9637, 70.7
1284.7, 70.8
1291.7558, 70.9
1293.8837, 70.8
1294.8119, 70.9
1299.7557, 70.8
1301.5959, 70.9
1305.4199, 71.0
1311.8199, 70.9
1314.3321, 70.8
