commande, current 
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0005, 0.005
-0.0023, 0.021
-0.0029, 0.018
-0.0024, 0.004
-0.0021, 0.002
-0.0016, 0.0
-0.0016, 0.003
-0.0018, 0.007
-0.0016, 0.006
-0.0016, 0.008
-0.0016, 0.008
-0.0019, 0.016
-0.0019, 0.015
-0.0014, 0.011
-0.0022, 0.021
-0.0026, 0.022
-0.0025, 0.02
-0.001, 0.005
-0.0012, 0.014
-0.0018, 0.024
-0.0012, 0.02
-0.002, 0.029
-0.0014, 0.022
-0.0013, 0.025
-0.0014, 0.025
-0.0016, 0.028
-0.0015, 0.029
-0.0014, 0.03
-0.0008, 0.026
-0.0011, 0.032
-0.0019, 0.04
-0.0007, 0.026
-0.0005, 0.029
-0.0005, 0.034
-0.0013, 0.042
-0.0006, 0.038
-0.0005, 0.038
-0.0007, 0.043
-0.0004, 0.042
-0.001, 0.048
-0.0002, 0.041
-0.0, 0.042
-0.0002, 0.045
0.0, 0.044
0.0, 0.049
0.0, 0.05
0.0006, 0.046
0.0004, 0.052
0.0002, 0.055
-0.0, 0.059
0.0, 0.059
-0.0001, 0.061
0.0003, 0.063
0.0003, 0.064
0.0001, 0.066
0.0355, 0.971
0.0361, 0.967
0.0359, 0.972
0.0356, 0.991
0.036, 0.993
0.0362, 0.993
0.0358, 1.003
0.0368, 0.998
0.0366, 1.007
0.0363, 1.015
0.0365, 1.017
0.0369, 1.025
0.0373, 1.025
0.037, 1.036
0.0371, 1.041
0.0378, 1.042
0.0373, 1.047
0.0371, 1.053
0.0377, 1.055
0.0378, 1.07
0.038, 1.072
0.0378, 1.077
0.0378, 1.081
0.0375, 1.088
0.0388, 1.085
0.0387, 1.091
0.0382, 1.101
0.039, 1.108
0.039, 1.112
0.0386, 1.118
0.0392, 1.115
0.0389, 1.124
0.0391, 1.127
0.0399, 1.126
0.0399, 1.126
0.0398, 1.145
0.0399, 1.151
0.0393, 1.159
0.0395, 1.164
0.0394, 1.167
0.0398, 1.169
0.0403, 1.169
0.0401, 1.174
0.0407, 1.184
0.0407, 1.188
0.0406, 1.195
0.0407, 1.2
0.041, 1.201
0.0412, 1.207
0.0413, 1.212
0.0414, 1.213
