commande, current 
0, 0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0002, 0.002
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0019, 0.022
-0.0013, 0.042
-0.0001, 0.059
0.0009, 0.075
0.0015, 0.104
0.0023, 0.12
0.004, 0.138
0.0053, 0.153
0.0064, 0.175
0.0067, 0.204
0.0081, 0.227
0.0102, 0.238
0.0114, 0.256
0.0121, 0.277
0.0136, 0.295
0.0133, 0.321
0.0148, 0.336
0.0155, 0.354
0.0158, 0.381
0.0161, 0.398
0.0168, 0.42
0.0168, 0.445
0.0182, 0.453
0.0179, 0.478
0.0188, 0.493
0.0177, 0.521
0.0179, 0.545
0.0191, 0.558
0.02, 0.578
0.0203, 0.603
0.0214, 0.618
0.0218, 0.641
0.0226, 0.66
0.0236, 0.675
0.0237, 0.697
0.0258, 0.709
0.0256, 0.74
0.0263, 0.76
0.0271, 0.784
0.0273, 0.805
0.0288, 0.814
0.0287, 0.843
0.029, 0.862
0.0296, 0.885
0.0308, 0.894
0.0307, 0.919
0.0308, 0.942
0.0312, 0.961
0.032, 0.978
0.0318, 0.999
0.0323, 1.022
0.0324, 1.045
0.0332, 1.057
0.0336, 1.079
0.0346, 1.092
0.0341, 1.123
0.0348, 1.137
