commande, current 
0.051, 2.134
0.0505, 2.138
0.0504, 2.141
0.0513, 2.16
0.0515, 2.157
0.0511, 2.154
0.0525, 2.17
0.0521, 2.174
0.0512, 2.183
0.0521, 2.197
0.0521, 2.197
0.0525, 2.191
0.052, 2.219
0.0518, 2.225
0.0524, 2.217
0.0522, 2.242
0.0524, 2.24
0.0521, 2.237
0.0529, 2.257
0.053, 2.254
0.0539, 2.248
0.0531, 2.281
0.0529, 2.283
0.0538, 2.275
0.0532, 2.303
0.0521, 2.31
0.0529, 2.305
0.0535, 2.32
0.0551, 2.307
0.0538, 2.318
0.0534, 2.346
0.0535, 2.347
0.0544, 2.342
0.0546, 2.363
0.054, 2.362
0.0544, 2.358
0.0551, 2.38
0.0542, 2.383
0.055, 2.381
0.0549, 2.398
0.0552, 2.396
0.0557, 2.397
0.0555, 2.419
0.0544, 2.432
0.055, 2.427
0.0565, 2.429
0.0566, 2.432
0.0548, 2.456
0.0565, 2.458
0.0562, 2.46
0.0565, 2.449
0.0568, 2.478
0.0562, 2.479
0.0568, 2.476
0.0563, 2.502
0.057, 2.499
0.0565, 2.502
0.0573, 2.517
0.057, 2.519
0.0582, 2.511
0.0576, 2.541
0.0578, 2.541
0.0573, 2.538
0.0578, 2.56
0.0584, 2.555
0.0572, 2.563
0.0584, 2.576
0.0583, 2.577
0.058, 2.583
0.0585, 2.599
0.0589, 2.596
0.0583, 2.599
0.0583, 2.624
0.0583, 2.623
0.0602, 2.608
0.0597, 2.64
0.0601, 2.631
0.0595, 2.636
0.0596, 2.659
0.0588, 2.666
0.0588, 2.666
0.0608, 2.677
0.0605, 2.672
0.0605, 2.674
0.0597, 2.703
0.0597, 2.701
0.0596, 2.7
0.0612, 2.714
0.0605, 2.719
0.0605, 2.721
0.0606, 2.742
0.0608, 2.741
0.0611, 2.733
0.0609, 2.761
0.0619, 2.75
0.0609, 2.761
0.0619, 2.778
0.0609, 2.783
0.0614, 2.784
0.0617, 2.803
0.0623, 2.798
0.0622, 2.8
0.0627, 2.815
0.0621, 2.822
0.0623, 2.817
0.0633, 2.83
0.0624, 2.837
0.0623, 2.841
0.0635, 2.857
0.0628, 2.861
0.0637, 2.852
0.0638, 2.875
0.0638, 2.876
0.0637, 2.879
0.0632, 2.903
0.0639, 2.896
0.0636, 2.899
0.0638, 2.922
0.0635, 2.924
0.064, 2.918
0.0643, 2.937
0.0637, 2.944
0.064, 2.938
0.0639, 2.964
0.0646, 2.958
0.0645, 2.96
0.0651, 2.979
0.0649, 2.981
0.0647, 2.984
0.0647, 3.003
0.0649, 3.001
0.0658, 2.997
0.066, 3.017
0.0663, 3.01
0.0649, 3.021
0.066, 3.035
0.0664, 3.035
0.066, 3.039
0.0658, 3.063
0.066, 3.063
0.0657, 3.066
0.0663, 3.081
0.0661, 3.083
0.066, 3.085
0.0674, 3.094
0.0672, 3.095
0.0668, 3.103
0.067, 3.123
0.0676, 3.112
0.0672, 3.117
0.0676, 3.138
0.0681, 3.135
0.0676, 3.139
0.0674, 3.161
0.0678, 3.156
0.0679, 3.158
0.0687, 3.171
0.0684, 3.179
0.0676, 3.184
0.0681, 3.201
0.0693, 3.194
0.0683, 3.202
0.0688, 3.221
0.0689, 3.218
0.069, 3.219
0.069, 3.24
0.0696, 3.235
0.0686, 3.244
0.0699, 3.258
0.0691, 3.264
0.07, 3.254
0.0706, 3.274
0.0699, 3.281
0.0704, 3.276
0.0704, 3.298
0.07, 3.303
0.0704, 3.296
0.0701, 3.324
0.071, 3.313
0.07, 3.324
0.0701, 3.347
0.0702, 3.345
0.0705, 3.344
0.0709, 3.359
0.0708, 3.358
0.0704, 3.367
0.0724, 3.374
0.0717, 3.379
0.0713, 3.38
0.0721, 3.395
0.0723, 3.396
0.072, 3.399
0.0724, 3.417
0.072, 3.421
0.0731, 3.409
0.0727, 3.433
0.0725, 3.438
0.0725, 3.442
0.0735, 3.451
0.0733, 3.454
0.0732, 3.458
0.0732, 3.48
0.0726, 3.484
0.0732, 3.479
0.0733, 3.504
0.0729, 3.504
0.0737, 3.497
0.0743, 3.512
0.0743, 3.518
0.0743, 3.518
0.0749, 3.533
0.0741, 3.541
0.0748, 3.532
0.0747, 3.555
0.074, 3.563
0.0743, 3.56
0.0745, 3.582
0.0754, 3.578
0.0747, 3.582
0.0757, 3.596
0.0748, 3.605
0.0757, 3.596
0.0755, 3.619
0.0754, 3.621
0.0755, 3.62
0.0758, 3.639
0.0756, 3.644
0.0767, 3.635
0.0757, 3.662
0.0764, 3.662
0.0758, 3.663
0.0769, 3.675
0.0756, 3.69
0.0767, 3.68
0.0768, 3.7
0.0767, 3.7
0.077, 3.699
0.0772, 3.719
0.0772, 3.72
0.0773, 3.715
0.077, 3.741
0.0772, 3.743
0.0775, 3.743
0.0776, 3.762
0.0782, 3.761
0.0783, 3.752
0.0783, 3.781
0.0784, 3.78
0.0784, 3.777
0.0787, 3.796
0.0785, 3.8
0.0789, 3.796
0.0792, 3.812
0.0779, 3.826
0.0785, 3.819
0.0793, 3.84
0.0793, 3.835
0.0795, 3.837
0.0793, 3.86
0.0799, 3.856
0.0796, 3.858
0.0797, 3.883
0.0793, 3.886
0.08, 3.877
0.0808, 3.896
0.0805, 3.897
0.0799, 3.903
0.081, 3.915
0.0803, 3.921
0.0802, 3.924
0.0806, 3.942
0.081, 3.937
0.0808, 3.944
0.0816, 3.96
0.0815, 3.958
0.0815, 3.958
0.0817, 3.98
0.0808, 3.986
0.0808, 3.987
0.0821, 3.994
0.0821, 3.993
0.0809, 4.007
0.0826, 4.009
0.0822, 4.018
0.0812, 4.026
0.0823, 4.042
0.082, 4.043
0.0817, 4.047
0.0825, 4.06
0.0823, 4.063
0.0832, 4.051
0.0836, 4.076
0.0825, 4.085
0.0837, 4.075
0.0836, 4.098
0.0833, 4.1
0.0839, 4.094
0.0837, 4.119
0.0834, 4.122
0.0837, 4.118
0.0833, 4.146
0.0837, 4.141
0.0836, 4.145
0.0842, 4.163
0.0845, 4.156
0.0838, 4.163
0.0839, 4.185
0.0839, 4.186
0.0855, 4.172
0.0845, 4.205
0.0845, 4.201
0.0853, 4.197
0.0855, 4.215
0.0846, 4.224
0.0854, 4.22
0.0851, 4.238
0.0863, 4.236
0.0857, 4.24
0.086, 4.261
0.0856, 4.265
0.0863, 4.255
0.087, 4.273
0.0864, 4.279
0.0865, 4.278
0.0866, 4.298
0.0867, 4.3
0.0865, 4.299
0.0876, 4.315
0.0861, 4.326
0.0878, 4.314
0.0872, 4.339
0.0874, 4.339
0.0874, 4.337
0.0883, 4.354
0.088, 4.353
0.0881, 4.355
0.0882, 4.379
0.089, 4.369
0.0876, 4.382
0.0886, 4.394
0.0883, 4.396
0.0876, 4.407
