commande, current 
0, 0
0.0, 0.0
0.0, 0.0
-0.0004, 0.005
-0.0024, 0.021
-0.0029, 0.017
-0.0022, 0.005
-0.002, 0.003
-0.0029, 0.014
-0.0034, 0.015
-0.0024, 0.003
-0.0016, -0.002
-0.002, 0.007
-0.0025, 0.013
-0.002, 0.007
-0.0019, 0.009
-0.0013, 0.004
-0.0017, 0.012
-0.0024, 0.019
-0.0016, 0.01
-0.001, 0.008
-0.0014, 0.015
-0.0017, 0.019
-0.0017, 0.018
-0.0009, 0.012
-0.0013, 0.02
-0.001, 0.019
-0.0016, 0.026
-0.0023, 0.032
-0.002, 0.026
-0.0008, 0.015
-0.0017, 0.028
-0.0017, 0.027
-0.0005, 0.018
-0.0013, 0.031
-0.0011, 0.028
-0.0011, 0.031
-0.0015, 0.035
-0.001, 0.029
-0.0005, 0.028
-0.0005, 0.03
-0.0007, 0.035
-0.0015, 0.042
-0.0016, 0.042
-0.0006, 0.032
-0.0008, 0.037
-0.0009, 0.039
-0.0002, 0.034
-0.0001, 0.037
-0.0006, 0.044
-0.0006, 0.044
-0.0, 0.059
0.0012, 0.072
0.0014, 0.098
0.0025, 0.12
0.0034, 0.14
0.0051, 0.158
0.0058, 0.179
0.0075, 0.196
0.0081, 0.222
0.01, 0.232
0.0105, 0.26
0.0116, 0.282
0.013, 0.297
0.0137, 0.315
0.0143, 0.343
0.0152, 0.357
0.0156, 0.381
0.0161, 0.4
0.0172, 0.416
0.0168, 0.44
0.018, 0.458
0.0178, 0.481
0.0182, 0.495
0.0186, 0.52
0.0187, 0.539
0.0194, 0.554
0.0199, 0.574
0.0201, 0.6
0.0211, 0.614
0.022, 0.635
0.0223, 0.656
0.0233, 0.673
0.0238, 0.701
0.0253, 0.714
0.0257, 0.736
0.0269, 0.753
0.027, 0.782
0.028, 0.797
0.0287, 0.82
0.0294, 0.835
0.0296, 0.859
0.0293, 0.887
0.0305, 0.9
0.0307, 0.92
0.0313, 0.939
0.0316, 0.96
0.0315, 0.98
0.0315, 1.004
0.0327, 1.018
0.032, 1.042
0.0333, 1.057
0.0332, 1.085
0.0332, 1.107
0.0345, 1.12
0.0343, 1.142
0.0353, 1.158
