commande, current 
0, 0
0.0, 0.0
0.0, 0.0
-0.0017, 0.018
-0.0031, 0.024
-0.0029, 0.013
-0.0026, 0.007
-0.0031, 0.01
-0.0025, 0.003
-0.0027, 0.007
-0.0027, 0.007
-0.0022, 0.001
-0.002, 0.002
-0.0027, 0.013
-0.003, 0.015
-0.0024, 0.008
-0.0025, 0.011
-0.0027, 0.013
-0.0022, 0.011
-0.0027, 0.017
-0.0025, 0.015
-0.0027, 0.017
-0.0021, 0.013
-0.0018, 0.014
-0.0027, 0.024
-0.0025, 0.021
-0.0025, 0.022
-0.0021, 0.02
-0.0015, 0.017
-0.0018, 0.022
-0.0016, 0.023
-0.0013, 0.023
-0.0021, 0.031
-0.0016, 0.027
-0.0017, 0.03
-0.0017, 0.03
-0.0014, 0.028
-0.0023, 0.038
-0.0026, 0.039
-0.0026, 0.037
-0.0018, 0.03
-0.0013, 0.028
-0.0017, 0.036
-0.002, 0.039
-0.0012, 0.032
-0.0009, 0.032
-0.0004, 0.031
-0.0011, 0.043
-0.0016, 0.047
-0.0012, 0.042
-0.0017, 0.048
-0.0002, 0.058
0.0001, 0.082
0.0007, 0.102
0.0018, 0.122
0.0026, 0.142
0.0042, 0.158
0.0053, 0.174
0.0063, 0.201
0.0076, 0.216
0.0092, 0.234
0.0101, 0.26
0.0113, 0.28
0.0118, 0.299
0.0122, 0.322
0.0132, 0.344
0.0136, 0.365
0.0149, 0.376
0.0154, 0.403
0.0157, 0.422
0.017, 0.438
0.0163, 0.465
0.0165, 0.482
0.0176, 0.498
0.0177, 0.519
0.018, 0.541
0.0186, 0.562
0.0194, 0.577
0.0191, 0.603
0.0205, 0.623
0.0217, 0.632
0.022, 0.661
0.0216, 0.694
0.0235, 0.7
0.0246, 0.715
0.0245, 0.745
0.026, 0.759
0.0263, 0.778
0.0281, 0.793
0.028, 0.819
0.0283, 0.843
0.0295, 0.854
0.0295, 0.882
0.0303, 0.899
0.0306, 0.916
0.0304, 0.94
0.0312, 0.957
0.0313, 0.979
0.0317, 0.999
0.0318, 1.023
0.0323, 1.037
0.0333, 1.057
0.0328, 1.085
0.0335, 1.099
0.0338, 1.123
0.0347, 1.132
0.0339, 1.165
