commande, current 
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0001, 0.001
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0005, 0.006
-0.0025, 0.022
-0.0027, 0.017
-0.0025, 0.005
-0.0022, 0.003
-0.0025, 0.008
-0.002, 0.002
-0.0024, 0.009
-0.0024, 0.009
-0.0024, 0.009
-0.0021, 0.007
-0.0019, 0.013
-0.0024, 0.019
-0.0023, 0.014
-0.0018, 0.012
-0.0019, 0.015
-0.0022, 0.02
-0.0029, 0.026
-0.0022, 0.018
-0.0022, 0.02
-0.0016, 0.016
-0.0016, 0.018
-0.0013, 0.019
-0.0013, 0.021
-0.0011, 0.022
-0.0014, 0.026
-0.0016, 0.03
-0.0016, 0.031
-0.0019, 0.035
-0.0018, 0.033
-0.0015, 0.03
-0.0009, 0.027
-0.0011, 0.032
-0.0011, 0.034
-0.0011, 0.035
-0.0008, 0.036
-0.0004, 0.035
-0.0008, 0.041
-0.0008, 0.042
-0.0008, 0.042
-0.0004, 0.04
-0.0006, 0.043
-0.0006, 0.045
-0.0004, 0.045
-0.0006, 0.049
-0.0003, 0.046
-0.0005, 0.049
-0.0005, 0.05
-0.0004, 0.05
-0.0004, 0.051
-0.0006, 0.054
0.0, 0.06
0.0, 0.061
0.0338, 0.923
0.0346, 0.942
0.0343, 0.95
0.035, 0.944
0.0341, 0.954
0.0338, 0.962
0.0342, 0.96
0.0344, 0.973
0.0349, 0.971
0.0349, 0.979
0.0343, 0.987
0.0344, 0.995
0.0348, 0.993
0.0345, 1.002
0.0352, 1.0
0.0344, 1.021
0.0355, 1.016
0.0354, 1.02
0.0354, 1.024
0.0348, 1.034
0.035, 1.041
0.0356, 1.039
0.0361, 1.038
0.0368, 1.048
0.0366, 1.056
0.0365, 1.063
0.0364, 1.065
0.0366, 1.066
0.0362, 1.078
0.037, 1.073
0.0367, 1.081
0.0366, 1.093
0.0377, 1.087
0.0373, 1.103
0.0369, 1.104
0.0373, 1.109
0.037, 1.117
0.0374, 1.116
0.037, 1.125
0.0372, 1.135
0.0378, 1.133
0.0372, 1.143
0.0373, 1.148
0.0376, 1.148
0.0372, 1.163
0.0384, 1.156
0.0382, 1.161
0.0385, 1.174
0.0392, 1.171
0.0385, 1.183
0.0383, 1.186
0.0387, 1.19
