commande, current 
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0009, 0.009
-0.0028, 0.025
-0.0028, 0.015
-0.0024, 0.007
-0.0023, 0.005
-0.0016, -0.001
-0.0021, 0.007
-0.0025, 0.012
-0.0025, 0.011
-0.0026, 0.011
-0.0025, 0.011
-0.0023, 0.01
-0.0019, 0.008
-0.0018, 0.009
-0.0014, 0.015
-0.0016, 0.018
-0.002, 0.022
-0.002, 0.021
-0.0019, 0.02
-0.0015, 0.017
-0.0015, 0.021
-0.0014, 0.021
-0.0018, 0.026
-0.0013, 0.022
-0.0016, 0.029
-0.0018, 0.031
-0.0013, 0.025
-0.001, 0.026
-0.001, 0.027
-0.0016, 0.035
-0.0014, 0.035
-0.0015, 0.036
-0.0019, 0.04
-0.0011, 0.031
-0.0006, 0.03
-0.0011, 0.038
-0.0009, 0.037
-0.0013, 0.042
-0.0013, 0.045
-0.0015, 0.045
-0.0008, 0.041
-0.0009, 0.043
-0.0009, 0.045
-0.0006, 0.044
-0.0002, 0.042
-0.0002, 0.047
-0.0004, 0.053
-0.0003, 0.052
-0.0006, 0.057
-0.0002, 0.052
-0.0002, 0.054
-0.0002, 0.056
-0.0, 0.055
0.0, 0.056
0.0001, 0.061
-0.0002, 0.065
-0.0004, 0.065
-0.0004, 0.065
-0.0001, 0.062
0.0002, 0.061
0.0003, 0.062
0.0004, 0.063
0.0276, 0.763
0.0287, 0.784
0.0283, 0.794
0.0286, 0.794
0.029, 0.796
0.0289, 0.8
0.0295, 0.802
0.0293, 0.818
0.0304, 0.818
0.0306, 0.821
0.0305, 0.829
0.0305, 0.831
0.0304, 0.84
0.0305, 0.842
0.0309, 0.843
0.0308, 0.858
0.0313, 0.857
0.0311, 0.864
0.0313, 0.868
0.0313, 0.873
0.0318, 0.871
0.0312, 0.883
0.0317, 0.886
0.0315, 0.901
0.0316, 0.903
0.0317, 0.908
0.0323, 0.907
0.0319, 0.917
0.032, 0.922
0.0327, 0.919
0.0331, 0.92
0.0322, 0.944
0.033, 0.94
0.0334, 0.94
0.033, 0.954
0.0327, 0.956
0.033, 0.957
0.0331, 0.961
0.0334, 0.961
0.0341, 0.977
0.0337, 0.984
0.0338, 0.985
0.0336, 0.991
0.0335, 0.994
0.0341, 0.998
