commande, current 
0, 0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0004, 0.004
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0013, 0.014
-0.0031, 0.024
-0.0032, 0.016
-0.0031, 0.01
-0.0028, 0.006
-0.0036, 0.014
-0.0025, 0.001
-0.0027, 0.006
-0.0026, 0.006
-0.0027, 0.009
-0.0035, 0.017
-0.0025, 0.006
-0.0027, 0.011
-0.0029, 0.014
-0.0027, 0.013
-0.0023, 0.01
-0.0029, 0.018
-0.0024, 0.012
-0.0022, 0.016
-0.0021, 0.017
-0.0018, 0.016
-0.0019, 0.021
-0.002, 0.023
-0.0016, 0.019
-0.0017, 0.023
-0.002, 0.025
-0.001, 0.018
-0.002, 0.029
-0.002, 0.029
-0.0022, 0.03
-0.0014, 0.021
-0.0015, 0.028
-0.0021, 0.035
-0.0014, 0.026
-0.002, 0.037
-0.0013, 0.029
-0.0013, 0.033
-0.0013, 0.034
-0.0012, 0.034
-0.0013, 0.037
-0.0016, 0.04
-0.0013, 0.038
-0.0007, 0.06
0.0005, 0.076
0.0014, 0.095
0.0023, 0.113
0.0026, 0.139
0.0041, 0.156
0.0053, 0.179
0.0064, 0.196
0.0079, 0.218
0.0088, 0.24
0.0105, 0.259
0.0116, 0.278
0.0126, 0.294
0.0136, 0.317
0.0143, 0.336
0.0148, 0.356
0.0157, 0.377
0.0162, 0.396
0.0167, 0.415
0.0168, 0.441
0.018, 0.452
0.0179, 0.476
0.0183, 0.499
0.0189, 0.516
0.0186, 0.54
0.0189, 0.562
0.0193, 0.582
0.0205, 0.598
0.0214, 0.616
0.0223, 0.633
0.0227, 0.658
0.0239, 0.675
0.024, 0.699
0.0251, 0.717
0.0256, 0.741
0.0269, 0.754
0.0275, 0.777
0.0284, 0.799
0.0292, 0.815
0.0302, 0.833
0.0297, 0.859
0.0304, 0.877
0.0302, 0.901
0.0312, 0.917
0.0317, 0.935
0.032, 0.958
0.0324, 0.981
0.0324, 0.998
0.0328, 1.018
0.0338, 1.036
0.0337, 1.06
