commande, current 
0.0533, 1.944
0.0541, 1.935
0.054, 1.937
0.0539, 1.959
0.054, 1.965
0.0544, 1.957
0.0542, 1.955
0.0543, 1.964
0.0539, 1.96
0.0539, 1.959
0.0541, 1.961
0.0544, 1.958
0.0546, 1.981
0.0543, 1.983
0.0555, 1.968
0.0548, 1.976
0.0552, 1.979
0.055, 1.977
0.0544, 1.985
0.0545, 2.006
0.0561, 1.99
0.0549, 2.002
0.0557, 1.989
0.0551, 2.0
0.0551, 2.0
0.0555, 1.992
0.0548, 2.0
0.0553, 2.02
0.0557, 2.015
0.0551, 2.021
0.0558, 2.014
0.0557, 2.018
0.0553, 2.019
0.0557, 2.017
0.0554, 2.018
0.0564, 2.031
0.0552, 2.045
0.0558, 2.039
0.0554, 2.042
0.0562, 2.038
0.0569, 2.027
0.0554, 2.042
0.0556, 2.041
0.0562, 2.06
0.0566, 2.057
0.0562, 2.062
0.0556, 2.064
0.0563, 2.06
0.0563, 2.059
0.0568, 2.056
0.0561, 2.061
0.0568, 2.079
0.0563, 2.086
0.057, 2.078
0.0573, 2.074
0.0565, 2.083
0.0563, 2.08
0.0569, 2.076
0.0562, 2.082
0.0571, 2.098
0.0573, 2.095
0.0576, 2.1
0.0566, 2.107
0.0571, 2.098
0.0577, 2.091
0.0569, 2.102
0.0577, 2.092
0.057, 2.122
0.0564, 2.127
0.0577, 2.119
0.0568, 2.128
0.058, 2.117
0.058, 2.115
0.0577, 2.12
0.0571, 2.128
0.0584, 2.132
0.0576, 2.144
0.0582, 2.138
0.0582, 2.142
0.0577, 2.141
0.0589, 2.126
0.058, 2.139
0.0581, 2.143
0.0578, 2.164
0.0583, 2.159
0.0583, 2.16
0.0584, 2.16
0.0589, 2.156
0.0583, 2.162
0.0574, 2.17
0.0584, 2.159
0.0595, 2.171
0.0585, 2.183
0.0582, 2.186
0.0587, 2.18
0.0589, 2.179
0.0592, 2.174
0.0592, 2.177
0.058, 2.189
0.0602, 2.194
0.0593, 2.199
0.0591, 2.2
0.0597, 2.199
0.0595, 2.196
0.0596, 2.192
0.0591, 2.199
0.0596, 2.197
0.0602, 2.215
0.0591, 2.222
0.0591, 2.224
0.0594, 2.223
0.0601, 2.216
0.0599, 2.216
0.0597, 2.219
0.06, 2.213
0.06, 2.213
0.0594, 2.246
0.0601, 2.239
0.0592, 2.246
0.06, 2.239
0.0598, 2.241
0.0605, 2.237
0.06, 2.239
0.06, 2.266
0.0604, 2.257
0.0599, 2.262
0.0606, 2.256
0.0608, 2.253
0.0609, 2.256
0.0599, 2.263
0.0602, 2.258
0.0617, 2.271
0.0603, 2.281
0.0603, 2.281
0.0613, 2.278
0.0605, 2.282
0.0612, 2.277
0.0603, 2.283
0.0613, 2.274
0.0614, 2.298
0.0616, 2.296
0.0614, 2.299
0.0609, 2.305
0.0616, 2.297
0.0617, 2.292
0.0616, 2.296
0.061, 2.302
0.0623, 2.312
0.0616, 2.322
0.062, 2.317
0.0623, 2.312
0.0617, 2.317
0.0614, 2.321
0.0614, 2.323
0.0619, 2.317
0.0624, 2.337
0.0616, 2.343
0.062, 2.34
0.0626, 2.332
0.0627, 2.335
0.0617, 2.343
0.062, 2.34
0.0621, 2.341
0.0628, 2.359
0.0626, 2.357
0.0616, 2.369
0.0628, 2.36
0.0621, 2.366
0.0627, 2.36
0.0628, 2.357
0.0622, 2.36
0.0629, 2.381
0.0634, 2.376
0.0628, 2.382
0.0632, 2.377
0.0617, 2.393
0.0628, 2.377
0.063, 2.38
0.0634, 2.373
0.0635, 2.399
