commande, current 
-0.0006, 0.039
-0.0004, 0.06
0.0001, 0.08
0.0012, 0.094
0.0014, 0.117
0.0015, 0.14
0.0027, 0.157
0.0035, 0.179
0.0043, 0.198
0.0051, 0.219
0.0057, 0.244
0.0067, 0.261
0.0083, 0.276
0.0086, 0.299
0.0097, 0.32
0.0105, 0.34
0.0114, 0.361
0.0117, 0.38
0.0132, 0.396
0.0137, 0.415
0.0144, 0.437
0.015, 0.455
0.0151, 0.479
0.0158, 0.498
0.0157, 0.528
0.0172, 0.54
0.0179, 0.557
0.0176, 0.583
0.0189, 0.599
0.0194, 0.617
0.0204, 0.634
0.0204, 0.657
0.0204, 0.682
0.0208, 0.701
0.0222, 0.716
0.0223, 0.739
0.0223, 0.761
0.0236, 0.78
0.0236, 0.804
0.0244, 0.82
0.025, 0.841
0.025, 0.867
0.0258, 0.883
0.0271, 0.895
0.0269, 0.921
0.0281, 0.934
0.0283, 0.955
0.0289, 0.977
0.029, 0.998
0.0299, 1.013
0.0293, 1.044
0.0306, 1.056
0.0306, 1.083
0.0312, 1.099
0.0316, 1.124
0.0323, 1.137
0.0332, 1.154
0.0334, 1.179
0.0335, 1.202
0.0345, 1.214
0.0336, 1.241
0.0342, 1.267
0.0346, 1.287
0.0357, 1.3
0.0362, 1.321
0.0356, 1.348
0.0368, 1.36
0.0373, 1.38
0.0367, 1.404
0.0384, 1.417
0.0377, 1.445
0.0392, 1.454
0.0392, 1.478
0.0399, 1.498
0.0399, 1.521
0.0401, 1.542
0.0404, 1.559
0.0413, 1.576
0.0403, 1.608
0.042, 1.619
0.042, 1.639
0.0432, 1.655
0.0428, 1.677
0.043, 1.7
0.0438, 1.717
0.0437, 1.743
0.0437, 1.76
0.0442, 1.782
0.0448, 1.802
0.0457, 1.816
0.0454, 1.843
0.0458, 1.862
0.0461, 1.885
0.0467, 1.901
0.047, 1.922
0.0476, 1.938
0.0485, 1.955
0.0484, 1.981
0.0488, 2.0
0.0486, 2.022
0.0489, 2.042
0.0494, 2.058
0.05, 2.076
0.0503, 2.101
0.0505, 2.119
0.0507, 2.141
0.0519, 2.154
0.0513, 2.187
0.0522, 2.198
0.0526, 2.216
0.0534, 2.233
0.0537, 2.253
0.0538, 2.278
0.0537, 2.301
0.0541, 2.317
0.0539, 2.342
0.0553, 2.355
0.0551, 2.383
0.0552, 2.404
0.0562, 2.413
0.0563, 2.438
0.0566, 2.458
0.0566, 2.479
0.0566, 2.502
0.0579, 2.517
0.0577, 2.539
0.0576, 2.567
0.0588, 2.579
0.0595, 2.597
0.059, 2.619
0.0602, 2.633
0.0596, 2.66
0.0599, 2.684
0.0609, 2.697
0.0613, 2.717
0.0613, 2.739
0.0619, 2.76
0.0624, 2.777
0.0628, 2.799
0.0627, 2.817
0.0629, 2.84
0.0632, 2.858
0.0634, 2.883
0.0639, 2.901
0.064, 2.923
0.0642, 2.941
0.065, 2.962
0.0659, 2.974
0.0662, 2.995
0.0656, 3.026
0.0661, 3.043
0.0669, 3.061
0.0679, 3.075
0.068, 3.099
0.0679, 3.117
0.0677, 3.143
0.0684, 3.159
0.0691, 3.179
0.0685, 3.205
0.0691, 3.221
0.0694, 3.241
0.0698, 3.259
0.0703, 3.279
0.0711, 3.295
0.0713, 3.321
0.071, 3.345
0.0718, 3.359
0.0729, 3.376
0.0729, 3.396
0.0728, 3.419
0.0724, 3.445
0.0731, 3.46
0.0731, 3.488
0.0741, 3.496
0.0743, 3.521
