commande, current 
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0007, 0.008
-0.0019, 0.016
-0.0022, 0.014
-0.0016, 0.002
-0.0016, 0.004
-0.0017, 0.006
-0.0019, 0.008
-0.002, 0.009
-0.0014, 0.005
-0.0011, 0.004
-0.0016, 0.012
-0.0004, 0.005
-0.0009, 0.015
-0.0015, 0.02
-0.0011, 0.015
-0.0005, 0.011
-0.002, 0.028
-0.0015, 0.02
-0.0011, 0.017
-0.0016, 0.025
-0.0008, 0.017
-0.001, 0.023
-0.0009, 0.023
-0.0012, 0.028
-0.001, 0.027
-0.001, 0.028
-0.0011, 0.029
-0.0018, 0.037
-0.001, 0.028
-0.0005, 0.026
-0.0013, 0.038
-0.0011, 0.035
-0.0005, 0.032
-0.001, 0.039
-0.001, 0.039
-0.0008, 0.04
-0.0009, 0.042
-0.0005, 0.041
-0.0007, 0.043
-0.0006, 0.043
-0.0003, 0.042
-0.0003, 0.044
-0.0004, 0.047
-0.0004, 0.05
-0.0004, 0.05
-0.0005, 0.052
-0.0003, 0.052
-0.0005, 0.055
0.0001, 0.05
-0.0002, 0.055
-0.0001, 0.055
0.0002, 0.057
-0.0001, 0.062
-0.0002, 0.062
0.0002, 0.058
0.0002, 0.061
0.0005, 0.059
0.0004, 0.062
0.0004, 0.062
0.0006, 0.065
0.0004, 0.069
0.0008, 0.066
0.0007, 0.069
0.0007, 0.068
0.0013, 0.066
0.0006, 0.076
0.0006, 0.076
0.0006, 0.084
0.0009, 0.081
0.0013, 0.082
0.0322, 0.805
0.0326, 0.811
0.0331, 0.827
0.0338, 0.825
0.0337, 0.83
0.0335, 0.835
0.0336, 0.84
0.0337, 0.847
0.0343, 0.85
0.0351, 0.855
0.0348, 0.864
0.0355, 0.863
0.0354, 0.871
0.0349, 0.876
0.0356, 0.877
0.0357, 0.881
0.0355, 0.886
0.036, 0.901
0.036, 0.901
0.0356, 0.91
0.0361, 0.913
0.0367, 0.91
0.0368, 0.917
0.0368, 0.927
0.0369, 0.926
0.0364, 0.935
0.0359, 0.946
0.0358, 0.951
0.0367, 0.947
0.0366, 0.956
0.036, 0.962
0.0362, 0.964
0.037, 0.963
0.0369, 0.98
0.0367, 0.985
0.0366, 0.991
0.0375, 0.991
0.0377, 0.995
0.0381, 0.998
0.0375, 1.007
0.0377, 1.009
0.0383, 1.019
0.0385, 1.02
